company,Company_Status,location,location_Status,industry,Industry_Status,total_laid_off,layoffs_Status,percentage_laid_off,Percentage_Status,date,Date_Status,year,Year_Status,Month,Month_Status,stage,country,funds_raised_millions,Funds_Status
ALICE,Reported,SAO PAULO,Reported,HEALTHCARE,Reported,113,Reported,0.16,Reported,09/12/2022,Reported,2022,Reported,12,Reported,SERIES C,BRAZIL,174,Reported
ALIEXPRESS RUSSIA,Reported,MOSCOW,Reported,RETAIL,Reported,400,Reported,0.4,Reported,14/05/2022,Reported,2022,Reported,5,Reported,ACQUIRED,RUSSIA,60,Reported
ALLBIRDS,Reported,SF BAY AREA,Reported,RETAIL,Reported,23,Reported,0,missing,28/07/2022,Reported,2022,Reported,7,Reported,POST-IPO,UNITED STATES,202,Reported
ALLYO,Reported,SF BAY AREA,Reported,HR,Reported,0,missing,0,missing,03/04/2020,Reported,2020,Reported,4,Reported,SERIES B,UNITED STATES,64,Reported
ALMANAC,Reported,SF BAY AREA,Reported,OTHER,Reported,0,missing,0,missing,13/08/2022,Reported,2022,Reported,8,Reported,SERIES A,UNITED STATES,45,Reported
ALTO PHARMACY,Reported,SF BAY AREA,Reported,HEALTHCARE,Reported,0,missing,0,missing,14/07/2022,Reported,2022,Reported,7,Reported,SERIES E,UNITED STATES,560,Reported
ALTO PHARMACY,Reported,SF BAY AREA,Reported,HEALTHCARE,Reported,47,Reported,0.06,Reported,29/09/2020,Reported,2020,Reported,9,Reported,SERIES D,UNITED STATES,356,Reported
AMAZON,Reported,SEATTLE,Reported,RETAIL,Reported,150,Reported,0,missing,28/10/2022,Reported,2022,Reported,10,Reported,POST-IPO,UNITED STATES,108,Reported
AMAZON,Reported,SEATTLE,Reported,RETAIL,Reported,8000,Reported,0.02,Reported,04/01/2023,Reported,2023,Reported,1,Reported,POST-IPO,UNITED STATES,108,Reported
AMAZON,Reported,SEATTLE,Reported,RETAIL,Reported,10000,Reported,0.03,Reported,16/11/2022,Reported,2022,Reported,11,Reported,POST-IPO,UNITED STATES,108,Reported
AMBER GROUP,Reported,HONG KONG,Reported,CRYPTO,Reported,0,missing,0.1,Reported,09/09/2022,Reported,2022,Reported,9,Reported,SERIES B,HONG KONG,328,Reported
AMBEV TECH,Reported,BLUMENAU,Reported,FOOD,Reported,50,Reported,0,missing,02/03/2023,Reported,2023,Reported,3,Reported,ACQUIRED,BRAZIL,0,missing
AMDOCS,Reported,ST. LOUIS,Reported,SUPPORT,Reported,700,Reported,0.03,Reported,02/01/2023,Reported,2023,Reported,1,Reported,POST-IPO,UNITED STATES,0,missing
AMERICAN ROBOTICS,Reported,BOSTON,Reported,OTHER,Reported,50,Reported,0.65,Reported,17/01/2023,Reported,2023,Reported,1,Reported,ACQUIRED,UNITED STATES,92,Reported
AMOBEE,Reported,SF BAY AREA,Reported,MARKETING,Reported,0,missing,0,missing,09/11/2022,Reported,2022,Reported,11,Reported,ACQUIRED,UNITED STATES,72,Reported
AMOUNT,Reported,CHICAGO,Reported,FINANCE,Reported,0,missing,0.18,Reported,27/06/2022,Reported,2022,Reported,6,Reported,UNKNOWN,UNITED STATES,283,Reported
AMOUNT,Reported,CHICAGO,Reported,FINANCE,Reported,130,Reported,0.25,Reported,27/02/2023,Reported,2023,Reported,2,Reported,UNKNOWN,UNITED STATES,283,Reported
AMPERITY,Reported,SEATTLE,Reported,MARKETING,Reported,13,Reported,0.03,Reported,20/08/2022,Reported,2022,Reported,8,Reported,SERIES D,UNITED STATES,187,Reported
AMPLERO,Reported,SEATTLE,Reported,MARKETING,Reported,17,Reported,1,Reported,29/03/2020,Reported,2020,Reported,3,Reported,SERIES B,UNITED STATES,25,Reported
ANAGRAM,Reported,LOS ANGELES,Reported,HEALTHCARE,Reported,17,Reported,0,missing,03/04/2020,Reported,2020,Reported,4,Reported,SERIES A,UNITED STATES,14,Reported
ANDELA,Reported,NEW YORK CITY,Reported,RECRUITING,Reported,135,Reported,0.1,Reported,05/05/2020,Reported,2020,Reported,5,Reported,SERIES D,UNITED STATES,181,Reported
ANGELLIST,Reported,SF BAY AREA,Reported,RECRUITING,Reported,20,Reported,0,missing,31/03/2020,Reported,2020,Reported,3,Reported,SERIES B,UNITED STATES,26,Reported
